alpha_q14,vth_shift_LSB,match_ratio,mean_spike_rate
15320.000000,-4.000000,1.000000,0.037281
15320.000000,-2.000000,1.000000,0.037281
15320.000000,-1.000000,1.000000,0.037281
15320.000000,0.000000,1.000000,0.037281
15320.000000,1.000000,1.000000,0.037281
15320.000000,2.000000,1.000000,0.037281
15320.000000,4.000000,1.000000,0.037281
15360.000000,-4.000000,1.000000,0.037144
15360.000000,-2.000000,1.000000,0.037144
15360.000000,-1.000000,1.000000,0.037144
15360.000000,0.000000,1.000000,0.037144
15360.000000,1.000000,1.000000,0.037144
15360.000000,2.000000,1.000000,0.037144
15360.000000,4.000000,1.000000,0.037144
15400.000000,-4.000000,1.000000,0.037144
15400.000000,-2.000000,1.000000,0.037144
15400.000000,-1.000000,1.000000,0.037144
15400.000000,0.000000,1.000000,0.037144
15400.000000,1.000000,1.000000,0.037144
15400.000000,2.000000,1.000000,0.037144
15400.000000,4.000000,1.000000,0.037144
15474.000000,-4.000000,1.000000,0.037007
15474.000000,-2.000000,1.000000,0.037007
15474.000000,-1.000000,1.000000,0.037007
15474.000000,0.000000,1.000000,0.037007
15474.000000,1.000000,1.000000,0.037007
15474.000000,2.000000,1.000000,0.037007
15474.000000,4.000000,1.000000,0.037007
15520.000000,-4.000000,1.000000,0.037007
15520.000000,-2.000000,1.000000,0.037007
15520.000000,-1.000000,1.000000,0.037007
15520.000000,0.000000,1.000000,0.037007
15520.000000,1.000000,1.000000,0.037007
15520.000000,2.000000,1.000000,0.037007
15520.000000,4.000000,1.000000,0.037007
15560.000000,-4.000000,1.000000,0.037007
15560.000000,-2.000000,1.000000,0.037007
15560.000000,-1.000000,1.000000,0.037007
15560.000000,0.000000,1.000000,0.037007
15560.000000,1.000000,1.000000,0.037007
15560.000000,2.000000,1.000000,0.037007
15560.000000,4.000000,1.000000,0.037007
15600.000000,-4.000000,1.000000,0.037281
15600.000000,-2.000000,1.000000,0.037281
15600.000000,-1.000000,1.000000,0.037281
15600.000000,0.000000,1.000000,0.037281
15600.000000,1.000000,1.000000,0.037281
15600.000000,2.000000,1.000000,0.037281
15600.000000,4.000000,1.000000,0.037281
